title,description,size,availability,price
Стеллаж металлический Профи-Т 2000х1540х655 (3 перфорированные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2000х1540х655
Вес, кг: 53
",['2000х1540х655'],Есть в наличии,24 240 руб.
Стеллаж металлический Профи-Т 3000х1240х770 (5 перфорированных оцинкованных мет. полок),"
ВхШхГ, мм: 3000х1240х770
Вес, кг: 81
",['3000х1240х770'],Есть в наличии,39 470 руб.
Стеллаж Форт-4,"
ВхШхГ, мм: 1160х385х490
Вес, кг: 7
",['1160х385х490'],Есть в наличии,4 710 руб.
Стеллаж односторонний №76 (1835х950х510),"
ВхШхГ, мм: 1835х950х510
Вес, кг: 70
",['1835х950х510'],Есть в наличии,50 440 руб.
Стеллаж с пластиковыми ящиками А-02-02-05,"
ВхШхГ, мм: 1515х735х330
",['1515х735х330'],Есть в наличии,35 810 руб.
Стеллаж с пластиковыми ящиками 1801-4/7/3 K,"
ВхШхГ, мм: 1800х1000х360
",['1800х1000х360'],Есть в наличии,28 560 руб.
Стеллаж с пластиковыми ящиками 1801-8/6/1 CH,"
ВхШхГ, мм: 1800х1000х360
",['1800х1000х360'],Есть в наличии,27 620 руб.
Стеллаж MS STANDART 2550х700х400 (5 полок),"
ВхШхГ, мм: 2550х700х400
Вес, кг: 17.42
",['2550х700х400'],Есть в наличии,5 210 руб.
Стеллаж MS STANDART 2550х1000х400 (4 полки),"
ВхШхГ, мм: 2550х1000х400
Вес, кг: 17.12
",['2550х1000х400'],Есть в наличии,5 250 руб.
Стеллаж MS STRONG 2550х1500х600 (8 полок),"
ВхШхГ, мм: 2550х1500х600
Вес, кг: 56.76
",['2550х1500х600'],Есть в наличии,19 230 руб.
Стеллаж MS STRONG 3100х700х600 (5 полок),"
ВхШхГ, мм: 3100х700х600
Вес, кг: 24.61
",['3100х700х600'],Есть в наличии,7 430 руб.
Стеллаж СФМ 4000х1250х800 (3 яруса без настила) RAL,"
ВхШхГ, мм: 4000х1250х800
",['4000х1250х800'],Есть в наличии,11 270 руб.
Стеллаж СФМ 3000х2000х1000 (4 яруса без настила) Цинк,"
ВхШхГ, мм: 3000х2000х1000
",['3000х2000х1000'],Есть в наличии,10 950 руб.
Стеллаж СФМ 2000х2000х800 (3 яруса с настилом) RAL,"
ВхШхГ, мм: 2000х2000х800
",['2000х2000х800'],Есть в наличии,18 430 руб.
Стеллаж СФМ 2000х1750х600 (4 яруса с настилом) RAL,"
ВхШхГ, мм: 2000х1750х600
",['2000х1750х600'],Есть в наличии,17 610 руб.
Стеллаж металлический Профи-Т 3000х1540х770 (5 сплошных оцинкованных мет. усиленных полок),"
ВхШхГ, мм: 3000х1540х770
Вес, кг: 94
",['3000х1540х770'],Есть в наличии,39 850 руб.
Стеллаж металлический Профи-Т 2500х1540х770 (4 перфорированные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2500х1540х770
Вес, кг: 76
",['2500х1540х770'],Есть в наличии,34 400 руб.
Стеллаж металлический Профи-Т 2500х1240х655 (4 полки из фанеры),"
ВхШхГ, мм: 2500х1240х655
Вес, кг: 59
",['2500х1240х655'],Есть в наличии,17 830 руб.
"Стеллаж МКФ 18914-2,0","
ВхШхГ, мм: 2000х1830х910
Вес, кг: 76
",['2000х1830х910'],Есть в наличии,22 030 руб.
"Стеллаж торговый пристенный 2150х1030х570 (5 полок 226, 300, 500)","
ВхШхГ, мм: 2150х1030х570
",['2150х1030х570'],Нет в наличии,16 670 руб.
Стеллаж с пластиковыми ящиками 1801-2/6/4 CH-Kombo,"
ВхШхГ, мм: 1800х1000х360
",['1800х1000х360'],Есть в наличии,25 360 руб.
Стеллаж с пластиковыми ящиками 1801-3/4/5 CH-S,"
ВхШхГ, мм: 1800х1000х360
",['1800х1000х360'],Есть в наличии,25 430 руб.
Стеллаж двусторонний №102 (1835х950х760),"
ВхШхГ, мм: 1835х950х760
Вес, кг: 127
",['1835х950х760'],Есть в наличии,93 300 руб.
Стеллаж MS STANDART 2200х1000х600 (5 полок),"
ВхШхГ, мм: 2200х1000х600
Вес, кг: 26.16
",['2200х1000х600'],Есть в наличии,7 290 руб.
Стеллаж MS STRONG 2350х700х700 (4 полки),"
ВхШхГ, мм: 2350х700х700
Вес, кг: 22.88
",['2350х700х700'],Есть в наличии,6 940 руб.
Стеллаж СФМ 4000х1750х1000 (3 яруса без настила) Цинк,"
ВхШхГ, мм: 4000х1750х1000
",['4000х1750х1000'],Есть в наличии,11 530 руб.
Стеллаж СФМ 2500х1500х800 (3 яруса с настилом) Цинк,"
ВхШхГ, мм: 2500х1500х800
",['2500х1500х800'],Есть в наличии,14 340 руб.
Стеллаж металлический Профи-Т 2500х1540х1005 (4 перфорированные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2500х1540х1005
Вес, кг: 88
",['2500х1540х1005'],Есть в наличии,39 890 руб.
Стеллаж односторонний №51 (1835х950х510),"
ВхШхГ, мм: 1835х950х510
Вес, кг: 76
",['1835х950х510'],Есть в наличии,52 420 руб.
Стеллаж с пластиковыми ящиками А-03-00-06,"
ВхШхГ, мм: 1515х735х330
",['1515х735х330'],Есть в наличии,35 800 руб.
Стеллаж с пластиковыми ящиками 1801-4/5/4 S,"
ВхШхГ, мм: 1800х1000х360
",['1800х1000х360'],Есть в наличии,27 450 руб.
Стеллаж двусторонний №145 (1835х950х760),"
ВхШхГ, мм: 1835х950х760
Вес, кг: 137
",['1835х950х760'],Есть в наличии,99 810 руб.
Стеллаж металлический ТС Лайт 1500х700х500 (3 перфорированные полки),"
ВхШхГ, мм: 1500х700х500
Вес, кг: 11
",['1500х700х500'],Есть в наличии,6 350 руб.
Стеллаж MS STANDART 2000х700х500 (5 полок),"
ВхШхГ, мм: 2000х700х500
Вес, кг: 17.31
",['2000х700х500'],Есть в наличии,5 090 руб.
Стеллаж MS STANDART 2000х700х400 (6 полок),"
ВхШхГ, мм: 2000х700х400
Вес, кг: 18.76
",['2000х700х400'],Есть в наличии,5 300 руб.
Стеллаж металлический Профи-Т 2000х1240х455 (3 перфорированные оцинкованные мет. полки),"
ВхШхГ, мм: 2000х1240х455
Вес, кг: 40
",['2000х1240х455'],Есть в наличии,17 470 руб.
Стеллаж металлический Профи-Т 2500х1540х500 (4 перфорированные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2500х1540х500
Вес, кг: 61
",['2500х1540х500'],Есть в наличии,27 560 руб.
Стеллаж MS STRONG 2550х700х700 (4 полки),"
ВхШхГ, мм: 2550х700х700
Вес, кг: 22.96
",['2550х700х700'],Есть в наличии,7 130 руб.
Стеллаж MS STRONG 3100х1000х700 (7 полок),"
ВхШхГ, мм: 3100х1000х700
Вес, кг: 45.41
",['3100х1000х700'],Есть в наличии,12 530 руб.
Стеллаж СФМ 2000х2000х1000 (3 яруса без настила) RAL,"
ВхШхГ, мм: 2000х2000х1000
",['2000х2000х1000'],Есть в наличии,8 870 руб.
Стеллаж СФМ 2000х1250х800 (2 яруса без настила) Цинк,"
ВхШхГ, мм: 2000х1250х800
",['2000х1250х800'],Есть в наличии,6 050 руб.
Стеллаж СФМ 3000х1750х800 (3 яруса без настила) Цинк,"
ВхШхГ, мм: 3000х1750х800
",['3000х1750х800'],Есть в наличии,9 080 руб.
Стеллаж СФМ 2500х1750х600 (4 яруса с настилом) RAL,"
ВхШхГ, мм: 2500х1750х600
",['2500х1750х600'],Есть в наличии,18 370 руб.
Стеллаж металлический Профи-Т 2000х1845х770 (4 сплошные оцинкованные мет. усиленные полки),"
ВхШхГ, мм: 2000х1845х770
Вес, кг: 82
",['2000х1845х770'],Есть в наличии,32 180 руб.
Стеллаж металлический Профи-Т 2500х1540х770 (4 полки из фанеры),"
ВхШхГ, мм: 2500х1540х770
Вес, кг: 73
",['2500х1540х770'],Есть в наличии,18 650 руб.
