title,size,price
"
Шкаф инструментальный TC-1947-020301
","[<a class=""spec"">Вес(кг): <span>45</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 27 596 руб.
"
"
Шкаф инструментальный TC-1947-000402
","[<a class=""spec"">Вес(кг): <span>47</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 28 560 руб.
"
"
Шкаф инструментальный TC-1947-000202ГК
","[<a class=""spec"">Вес(кг): <span>44</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 29 626 руб.
"
"
Шкаф инструментальный TC-1947-020202
","[<a class=""spec"">Вес(кг): <span>47</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 30 962 руб.
"
"
Шкаф инструментальный TC-1947-000305
","[<a class=""spec"">Вес(кг): <span>56</span></a>, <a class=""spec"">Габариты: <span>1900x475x500</span></a>]","
 43 712 руб.
"
"
Шкаф инструментальный TC-1095
","[<a class=""spec"">Вес(кг): <span>33</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
Под заказ
"
"
Шкаф инструментальный ТС 1095-002000
","[<a class=""spec"">Вес(кг): <span>41</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 23 883 руб.
"
"
Шкаф инструментальный ТС 1095-001010
","[<a class=""spec"">Вес(кг): <span>46</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 29 045 руб.
"
"
Шкаф инструментальный ТС 1095-021010
","[<a class=""spec"">Вес(кг): <span>54</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 31 564 руб.
"
"
Шкаф инструментальный ТС 1095-100302
","[<a class=""spec"">Вес(кг): <span>51</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 34 746 руб.
"
"
Шкаф инструментальный TC-1995/2-102200
","[<a class=""spec"">Вес(кг): <span>66</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 37 332 руб.
"
"
Шкаф инструментальный TС 1095-021020
","[<a class=""spec"">Вес(кг): <span>63</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 38 852 руб.
"
"
Шкаф инструментальный TC-1995/2-102400
","[<a class=""spec"">Вес(кг): <span>72</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 41 249 руб.
"
"
Шкаф инструментальный ТС 1095-001030
","[<a class=""spec"">Вес(кг): <span>55</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 43 620 руб.
"
"
Шкаф инструментальный TC-1995/2-024010
","[<a class=""spec"">Вес(кг): <span>77</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 46 359 руб.
"
"
Шкаф инструментальный ТС 1095-100206
","[<a class=""spec"">Вес(кг): <span>61</span></a>, <a class=""spec"">Габариты: <span>1000x950x500</span></a>]","
 51 561 руб.
"
"
Шкаф инструментальный TC-1995/2-102206
","[<a class=""spec"">Вес(кг): <span>85</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 64 229 руб.
"
"
Шкаф инструментальный TC-1995/2- 022050
","[<a class=""spec"">Вес(кг): <span>93</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 64 821 руб.
"
"
Шкаф инструментальный TC-1995/2-102215
","[<a class=""spec"">Вес(кг): <span>90</span></a>, <a class=""spec"">Габариты: <span>1900x950x500</span></a>]","
 68 717 руб.
"
