title,size,price
"
Шкаф медицинский ПРАКТИК HILFE MD 1 1760 R
","[<a class=""spec"">Вес(кг): <span>35</span></a>, <a class=""spec"">Габариты: <span>1850x600x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК HILFE MD 1 1760 R1
","[<a class=""spec"">Вес(кг): <span>37</span></a>, <a class=""spec"">Габариты: <span>1850x600x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК MED 2 1780/SG
","[<a class=""spec"">Вес(кг): <span>45</span></a>, <a class=""spec"">Габариты: <span>1850x800x400</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК HILFE MD 2 ШМ-SS (21-50)
","[<a class=""spec"">Вес(кг): <span>29</span></a>, <a class=""spec"">Габариты: <span>1900x600x500</span></a>]","
Под заказ
"
"
Шкаф медицинский ПРАКТИК MED 1 1650/SG
","[<a class=""spec"">Вес(кг): <span>26</span></a>, <a class=""spec"">Габариты: <span>1755x500x320</span></a>]","
 16 509 руб.
"
"
Шкаф медицинский ПРАКТИК MED 1 1650/SS
","[<a class=""spec"">Вес(кг): <span>24</span></a>, <a class=""spec"">Габариты: <span>1755x500x320</span></a>]","
 16 509 руб.
"
"
Шкаф медицинский ПРАКТИК MED 1 1657/SS
","[<a class=""spec"">Вес(кг): <span>27</span></a>, <a class=""spec"">Габариты: <span>1755x570x320</span></a>]","
 16 958 руб.
"
"
Шкаф медицинский ПРАКТИК MED 1 1657/SG
","[<a class=""spec"">Вес(кг): <span>27</span></a>, <a class=""spec"">Габариты: <span>1755x570x320</span></a>]","
 16 958 руб.
"
"
Шкаф медицинский ПРАКТИК MED 2 1670/SG
","[<a class=""spec"">Вес(кг): <span>33</span></a>, <a class=""spec"">Габариты: <span>1755x700x320</span></a>]","
 17 927 руб.
"
"
Шкаф медицинский ПРАКТИК MED 2 1670/SS
","[<a class=""spec"">Вес(кг): <span>33</span></a>, <a class=""spec"">Габариты: <span>1755x700x320</span></a>]","
 17 927 руб.
"
"
Шкаф медицинский ПРАКТИК MED 1 1760/SS
","[<a class=""spec"">Вес(кг): <span>35</span></a>, <a class=""spec"">Габариты: <span>1850x600x400</span></a>]","
 20 589 руб.
"
"
Шкаф медицинский ПРАКТИК MED 1 1760/SG
","[<a class=""spec"">Вес(кг): <span>35</span></a>, <a class=""spec"">Габариты: <span>1850x600x400</span></a>]","
 20 589 руб.
"
"
Шкаф медицинский ПРАКТИК MED 2 1780/SS
","[<a class=""spec"">Вес(кг): <span>41</span></a>, <a class=""spec"">Габариты: <span>1850x800x400</span></a>]","
 22 486 руб.
"
"
Пенальница КЛ-50П
","[<a class=""spec"">Вес(кг): <span>9</span></a>, <a class=""spec"">Габариты: <span>650x350x180</span></a>]","
Под заказ
"
"
Ключница настенная на 1 ключ КЛ-1
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>160x120x40</span></a>]","
Под заказ
"
"
Пенал для ключей пластмассовый
","[<a class=""spec"">Вес(кг): <span>0</span></a>, <a class=""spec"">Габариты: <span>100x40x40</span></a>]","
 120 руб.
"
"
Пенал для ключей металлический 40х120
","[<a class=""spec"">Вес(кг): <span>1</span></a>, <a class=""spec"">Габариты: <span>120x40x40</span></a>]","
 310 руб.
"
"
Ключница КЛ-20
","[<a class=""spec"">Вес(кг): <span>3</span></a>, <a class=""spec"">Габариты: <span>300x180x50</span></a>]","
 1 970 руб.
"
"
Ключница КЛ-40
","[<a class=""spec"">Вес(кг): <span>4</span></a>, <a class=""spec"">Габариты: <span>350x300x50</span></a>]","
 2 755 руб.
"
"
Пенальница КЛ-30П
","[<a class=""spec"">Вес(кг): <span>6</span></a>, <a class=""spec"">Габариты: <span>400x350x180</span></a>]","
 2 990 руб.
"
"
Ключница КЛ-60
","[<a class=""spec"">Вес(кг): <span>5</span></a>, <a class=""spec"">Габариты: <span>400x350x75</span></a>]","
 3 380 руб.
"
"
Ключница КЛС-30
","[<a class=""spec"">Вес(кг): <span>4</span></a>, <a class=""spec"">Габариты: <span>410x350x55</span></a>]","
 4 120 руб.
"
"
Ключница КЛ-80
","[<a class=""spec"">Вес(кг): <span>7</span></a>, <a class=""spec"">Габариты: <span>525x350x75</span></a>]","
 4 160 руб.
"
"
Ключница КЛ-100
","[<a class=""spec"">Вес(кг): <span>9</span></a>, <a class=""spec"">Габариты: <span>650x350x75</span></a>]","
 4 825 руб.
"
"
Ключница КЛС-40
","[<a class=""spec"">Вес(кг): <span>6</span></a>, <a class=""spec"">Габариты: <span>535x350x55</span></a>]","
 4 825 руб.
"
"
Ключница КЛС-50
","[<a class=""spec"">Вес(кг): <span>8</span></a>, <a class=""spec"">Габариты: <span>660x350x55</span></a>]","
 5 830 руб.
"
"
Пенальница КЛ-40П
","[<a class=""spec"">Вес(кг): <span>7</span></a>, <a class=""spec"">Габариты: <span>525x350x180</span></a>]","
 8 020 руб.
"
