title,price,category,shop,height,width,depth
"Стеллаж металлический 1800*700*300 мм, 3 полки","
 4 056 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1850.0,700.0,300
"Стеллаж металлический 2000*700*400 мм, 3 полки","
 4 561 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,700.0,400
"Стеллаж металлический 2200*1000*400 мм, 4 полки","
 6 460 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2200.0,1000.0,400
"Стеллаж металлический 2000*1200*300 мм, 5 полок","
 8 039 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1200.0,300
"Стеллаж металлический 2500*1200*400 мм, 6 полок","
 10 826 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2550.0,1200.0,400
"Стеллаж металлический 3000*1500*400 мм, 6 полок","
 13 776 руб.
",Металлическая мебель (Стеллажи),Секретсервис,3000.0,1500.0,400
Тележка инструментальная GARAGE BIG,"
Под заказ
",Металлическая мебель (Стеллажи),Секретсервис,1930.0,722.0,515
"Дополнительная секция грузового стеллажа 2500*1500*600, 5 полок","
Под заказ
",Металлическая мебель (Стеллажи),Секретсервис,2500.0,1500.0,600
"Дополнительная секция грузового стеллажа 2000*1800*600, 4 полки","
Под заказ
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1800.0,600
"Стеллаж грузовой 2000*1800*600, 4 полки","
Под заказ
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1800.0,600
"Стеллаж грузовой 2500*1500*600, 5 полок","
Под заказ
",Металлическая мебель (Стеллажи),Секретсервис,2500.0,1500.0,600
"Дополнительная секция грузового стеллажа 3000*1500*800, 5 полок","
Под заказ
",Металлическая мебель (Стеллажи),Секретсервис,3000.0,1500.0,800
"Стеллаж грузовой 3000*1500*800, 5 полок","
Под заказ
",Металлическая мебель (Стеллажи),Секретсервис,3000.0,1500.0,800
"Паллетный стеллаж, 2000*1050*5400 мм","
Под заказ
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,5400.0,1050
"Паллетный стеллаж, 2000*1050*2700 мм","
Под заказ
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,2700.0,1050
СТЕЛЛАЖ ES 75KD/75X30/3,"
 1 836 руб.
",Металлическая мебель (Стеллажи),Секретсервис,753.0,750.0,300
СТЕЛЛАЖ ES 150KD/75Х30/4,"
 3 060 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1453.0,750.0,300
СТЕЛЛАЖ MS U 200/70X30/3 (НАГРУЗКА НА ПОЛКУ 200),"
 8 782 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,700.0,300
СТЕЛЛАЖ MS U 200/100X40/3 (НАГРУЗКА НА ПОЛКУ 300),"
 11 485 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1000.0,400
СТЕЛЛАЖ MS U 250/100X50/4 (НАГРУЗКА НА ПОЛКУ 400),"
 18 544 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2500.0,1000.0,500
СТЕЛЛАЖ MS U 250/120X60/4 (НАГРУЗКА НА ПОЛКУ 350),"
 21 277 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2500.0,1200.0,600
СТЕЛЛАЖ MS U 300/150X100/5 (НАГРУЗКА НА ПОЛКУ 300),"
 40 351 руб.
",Металлическая мебель (Стеллажи),Секретсервис,3000.0,1500.0,1000
СТЕЛЛАЖ MS U 300/150X90/5 (НАГРУЗКА НА ПОЛКУ 250),"
 36 394 руб.
",Металлическая мебель (Стеллажи),Секретсервис,3000.0,1500.0,900
СТЕЛЛАЖ SB 200X152X61/3,"
 15 802 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1525.0,610
СТЕЛЛАЖ SB 200X152X51/4,"
 18 034 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1525.0,508
СТЕЛЛАЖ SB 200X183X51/4,"
 23 215 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1830.0,508
СТЕЛЛАЖ SB 300X152X76/5,"
 29 106 руб.
",Металлическая мебель (Стеллажи),Секретсервис,3000.0,1525.0,760
СТЕЛЛАЖ SB 300X183X61/6,"
 36 520 руб.
",Металлическая мебель (Стеллажи),Секретсервис,3000.0,1830.0,610
СТЕЛЛАЖ SBL 180KD/75X35/5,"
 6 314 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1803.0,750.0,350
СТЕЛЛАЖ SBL 180KD/90X40/5,"
 6 865 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1803.0,900.0,400
СТЕЛЛАЖ SBL 180KD/90X45/5,"
 7 538 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1803.0,900.0,450
Стеллаж Скандинавия 14 (белый),"
 4 200 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1470.0,4500.0,385
Стеллаж Скандинавия 14 (черный),"
 4 200 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1470.0,4500.0,385
Стеллаж Скандинавия 24 (белый),"
 4 720 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1470.0,6500.0,385
Стеллаж Скандинавия 24 (черный),"
 4 720 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1470.0,6500.0,385
Стеллаж Валенсия 14 (черный),"
 2 750 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1205.0,455.0,300
Стеллаж Валенсия 13 (черный),"
 2 280 руб.
",Металлическая мебель (Стеллажи),Секретсервис,855.0,455.0,300
Лоток складской пластиковый 12.401,"
 120 руб.
",Металлическая мебель (Стеллажи),Секретсервис,75.0,100.0,
Лоток складской пластиковый 12.402,"
 230 руб.
",Металлическая мебель (Стеллажи),Секретсервис,130.0,150.0,
Лоток складской пластиковый 12.412,"
 460 руб.
",Металлическая мебель (Стеллажи),Секретсервис,150.0,225.0,
Лоток складской пластиковый 12.403,"
 465 руб.
",Металлическая мебель (Стеллажи),Секретсервис,150.0,225.0,
Лоток складской пластиковый 12.414,"
 590 руб.
",Металлическая мебель (Стеллажи),Секретсервис,150.0,225.0,
Лоток складской пластиковый 12.406,"
 600 руб.
",Металлическая мебель (Стеллажи),Секретсервис,200.0,300.0,
Лоток складской пластиковый 12.404,"
 610 руб.
",Металлическая мебель (Стеллажи),Секретсервис,200.0,225.0,
Лоток складской пластиковый 12.405,"
 630 руб.
",Металлическая мебель (Стеллажи),Секретсервис,150.0,225.0,
Лоток складской пластиковый 12.407,"
 860 руб.
",Металлическая мебель (Стеллажи),Секретсервис,250.0,300.0,
"Стеллаж для склада, 1600*1000*400 мм, 3 полки","
 4 785 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1600.0,1000.0,400
"Стеллаж складской 1850*1000*300 мм, 4 полки","
 5 224 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1850.0,1000.0,300
"Стеллаж складской 2000*700*400 мм, 4 полки","
 5 340 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,700.0,400
"Стеллаж складской 2000*1000*300 мм, 4 полки","
 5 480 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1000.0,300
"Стеллаж складской 2000*1000*400 мм, 4 полки","
 6 172 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1000.0,400
"Стеллаж складской 2000*1000*300 мм, 5 полок","
 6 294 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1000.0,300
"Стеллаж складской 2200*1000*400 мм, 4 полки","
 6 460 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2200.0,1000.0,400
"Стеллаж складской 1800*1000*400 мм, 5 полок","
 6 999 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1800.0,1000.0,400
"Стеллаж складской 2200*1000*500 мм, 4 полки","
 7 108 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2200.0,1000.0,500
"Стеллаж складской 2500*1000*300 мм, 6 полок","
 7 664 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2500.0,1000.0,300
"Стеллаж складской 2500*1000*400 мм, 6 полок","
 8 702 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2500.0,1000.0,400
"Стеллаж складской 2000*1200*400 мм, 5 полок","
 8 929 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1200.0,400
"Стеллаж складской 2000*1200*500 мм, 5 полок","
 10 409 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,1200.0,500
"Стеллаж для склада 1500*1400*300 мм, 2 секции, 8 полок","
 8 024 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1500.0,1400.0,300
"Стеллаж складской 1850*2000*400 мм, 8 полок, 2 секции","
 10 848 руб.
",Металлическая мебель (Стеллажи),Секретсервис,1850.0,2000.0,400
"Стеллаж для склада 2000*2000*500 мм, 2 секции, 10 полок","
 14 826 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,2000.0,500
"Стеллаж для склада 2200*2400*400 мм, 10 полок, 2 секции","
 17 178 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2200.0,2400.0,400
"Стеллаж для склада 2200*2400*300 мм, 12 полок, 2 секции","
 17 724 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2200.0,2400.0,300
"Стеллаж для склада 2350*2400*500 мм, 12 полок, 2 секции","
 23 400 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2350.0,2400.0,500
"Стеллаж для склада 2200*3000*400 мм, 15 полок, 3 секции","
 19 829 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2200.0,3000.0,400
"Стеллаж для склада 2000*3600*400 мм, 12 полок, 3 секции","
 20 540 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2000.0,3600.0,400
"Стеллаж для склада 2500*4500*300 мм, 15 полок, 3 секции","
 27 595 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2500.0,4500.0,300
"Стеллаж для склада 2300*4500*500 мм, 12 полок, 3 секции","
 29 524 руб.
",Металлическая мебель (Стеллажи),Секретсервис,2300.0,4500.0,500
Бухгалтерский шкаф SL-32,"
 6 084 руб.
",Металлическая мебель (Шкафы),Секретсервис,320.0,420.0,350.0
Бухгалтерский шкаф SL-32Т,"
 6 717 руб.
",Металлическая мебель (Шкафы),Секретсервис,320.0,450.0,320.0
Бухгалтерский шкаф SL-87T,"
 10 776 руб.
",Металлическая мебель (Шкафы),Секретсервис,870.0,760.0,340.0
Бухгалтерский шкаф SL-87Т EL,"
 12 306 руб.
",Металлическая мебель (Шкафы),Секретсервис,870.0,460.0,340.0
Бухгалтерский шкаф SL-125Т,"
 12 867 руб.
",Металлическая мебель (Шкафы),Секретсервис,1252.0,460.0,340.0
Бухгалтерский шкаф SL-125Т EL,"
 14 397 руб.
",Металлическая мебель (Шкафы),Секретсервис,1252.0,460.0,340.0
Бухгалтерский шкаф SL-125/2Т,"
 15 560 руб.
",Металлическая мебель (Шкафы),Секретсервис,1252.0,460.0,340.0
Бухгалтерский шкаф SL-150T,"
 16 346 руб.
",Металлическая мебель (Шкафы),Секретсервис,1490.0,460.0,340.0
Бухгалтерский шкаф SL-185,"
 18 437 руб.
",Металлическая мебель (Шкафы),Секретсервис,1800.0,460.0,340.0
Бухгалтерский шкаф SL-185/2,"
 34 685 руб.
",Металлическая мебель (Шкафы),Секретсервис,1800.0,920.0,340.0
Бухгалтерский шкаф SL-65Т,"
 8 930 руб.
",Металлическая мебель (Шкафы),Секретсервис,630.0,460.0,340.0
Бухгалтерский шкаф SL-65Т EL,"
 10 460 руб.
",Металлическая мебель (Шкафы),Секретсервис,630.0,460.0,340.0
Бухгалтерский шкаф SL-150T-EL/2,"
 16 346 руб.
",Металлическая мебель (Шкафы),Секретсервис,1490.0,460.0,340.0
Шкаф для офиса AM 1891/2U,"
Под заказ
",Металлическая мебель (Шкафы),Секретсервис,1830.0,915.0,458.0
Шкаф усиленный VALBERG BM-1993KL,"
Под заказ
",Металлическая мебель (Шкафы),Секретсервис,1950.0,930.0,420.0
Шкаф усиленный VALBERG BM-1260KL,"
Под заказ
",Металлическая мебель (Шкафы),Секретсервис,1220.0,600.0,420.0
Офисный шкаф AM 1845/4,"
Под заказ
",Металлическая мебель (Шкафы),Секретсервис,1830.0,472.0,458.0
Архивный шкаф ШАМ-12/680,"
 6 763 руб.
",Металлическая мебель (Шкафы),Секретсервис,680.0,425.0,500.0
Архивный шкаф - ШАМ-12,"
 13 162 руб.
",Металлическая мебель (Шкафы),Секретсервис,1860.0,425.0,500.0
Шкаф офисный ПРАКТИК CB-13,"
 14 423 руб.
",Металлическая мебель (Шкафы),Секретсервис,930.0,850.0,500.0
Офисный шкаф AM 0891,"
 15 035 руб.
",Металлическая мебель (Шкафы),Секретсервис,832.0,915.0,458.0
Офисный шкаф AM 1845,"
 16 152 руб.
",Металлическая мебель (Шкафы),Секретсервис,1830.0,472.0,458.0
Архивный шкаф ШАМ-11/400,"
 16 843 руб.
",Металлическая мебель (Шкафы),Секретсервис,1860.0,850.0,400.0
Архивный шкаф - ШАМ-11,"
 18 658 руб.
",Металлическая мебель (Шкафы),Секретсервис,1860.0,850.0,500.0
Шкаф офисный ПРАКТИК CB-12,"
 19 288 руб.
",Металлическая мебель (Шкафы),Секретсервис,1860.0,850.0,400.0
Офисный шкаф ПРАКТИК M-18,"
 19 696 руб.
",Металлическая мебель (Шкафы),Секретсервис,1830.0,915.0,370.0
Шкаф офисный ПРАКТИК CB-14,"
 21 481 руб.
",Металлическая мебель (Шкафы),Секретсервис,1860.0,850.0,500.0
