title,description,size,price
Стеллаж SBL 200KD/75x35/5,"

Вес, кг

						15.3					



Габариты, мм

						2000x750x350					


",['2000x750x350'],"
						5 334						
							 руб.							за 1 шт

"
Стеллаж SBL 200KD/90x40/5,"

Вес, кг

						18.3					



Габариты, мм

						2000x900x400					


",['2000x900x400'],"
						5 785						
							 руб.							за 1 шт

"
Стеллаж SBL 200KD/90x45/5,"

Вес, кг

						23.1					



Габариты, мм

						2000x900x450					


",['2000x900x450'],"
						6 336						
							 руб.							за 1 шт

"
Стеллаж SB 1153х1167х525 для хранения 8 шин оцинкованный,"

Вес, кг

						12.4					



Габариты, мм

						1153x1167x525					


",['1153x1167x525'],"
						5 142						
							 руб.							за 1 шт

"
Стеллаж SB 1153х688х525 для хранения 4 шин оцинкованный,"

Вес, кг

						8.8					



Габариты, мм

						1153x688x525					


",['1153x688x525'],"
						4 283						
							 руб.							за 1 шт

"
Стеллаж SBL 220KD/75x35/6,"

Вес, кг

						15.7					



Габариты, мм

						2200x750x350					


",['2200x750x350'],"
						6 277						
							 руб.							за 1 шт

"
Стеллаж SBL 220KD/90x40/6,"

Вес, кг

						18.7					



Габариты, мм

						2200x900x400					


",['2200x900x400'],"
						6 745						
							 руб.							за 1 шт

"
Стеллаж SBL 220KD/90x45/6,"

Вес, кг

						23.5					



Габариты, мм

						2200x900x450					


",['2200x900x450'],"
						7 421						
							 руб.							за 1 шт

"
Стеллаж SBL 220KD/120x40/6,"

Вес, кг

						22.6					



Габариты, мм

						2200x1200x400					


",['2200x1200x400'],"
						8 556						
							 руб.							за 1 шт

"
Стеллаж SBL 220KD/120x45/6,"

Вес, кг

						28.8					



Габариты, мм

						2200x1200x450					


",['2200x1200x450'],"
						9 308						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 200/90x40/4 цвет графит,"

Вес, кг

						19.01					



Габариты, мм

						2000x900x400					


",['2000x900x400'],"
						6 799						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 200/100x40/4 цвет графит,"

Вес, кг

						19.01					



Габариты, мм

						2000x1000x400					


",['2000x1000x400'],"
						7 031						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 200/90x40/5 цвет графит,"

Вес, кг

						19.01					



Габариты, мм

						2000x900x400					


",['2000x900x400'],"
						7 679						
							 руб.							за 1 шт

"
Стеллаж металлический MS Standart 200/100x40/5 цвет графит,"

Вес, кг

						19.01					



Габариты, мм

						2000x1000x400					


",['2000x1000x400'],"
						7 832						
							 руб.							за 1 шт

"
Разделитель продольный MSP 70/2,"

Габариты, мм

						-x720x50					


",['x720x50'],"
						210						
							 руб.							за 1 шт

"
Комплект Г-образного крепежа стойки (Г-образные уголки 4 шт.+ подпятник пласт.1 шт.) Standart,"

Габариты, мм

						-x-x-					


",[],"
						71						
							 руб.							за 1 шт

"
