title,availability,price,category,shop,manufacturer,width,height
Стол манипуляционный МД SM 1,Есть в наличии,13 230 руб.,Медицинская мебель,5,,,
Стол процедурный МД SP 3N,Есть в наличии,12 120 руб.,Медицинская мебель,5,,,
Стол палатный MF TH-85.16S (Белое дерево),Есть в наличии,6 610 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-02 (полки металл, колёса пластик)",Есть в наличии,6 490 руб.,Медицинская мебель,5,,,
Кушетка медицинская смотровая МД КС-01 (Слоновая кость),Есть в наличии,20 240 руб.,Медицинская мебель,5,,,
Банкетка медицинская МД Б (Слоновая кость),Есть в наличии,6 940 руб.,Медицинская мебель,5,,,
Кушетка смотровая КСВ-01С усиленная,Есть в наличии,10 540 руб.,Медицинская мебель,5,,,
Стол процедурный МД SP 3G,Есть в наличии,7 990 руб.,Медицинская мебель,5,,,
Стол процедурный МД SP 2G,Есть в наличии,6 540 руб.,Медицинская мебель,5,,,
Стол манипуляционный МД SM N,Есть в наличии,4 870 руб.,Медицинская мебель,5,,,
Стол процедурный МД SP 2N,Есть в наличии,8 980 руб.,Медицинская мебель,5,,,
Стол манипуляционный МД SM 6,Есть в наличии,28 230 руб.,Медицинская мебель,5,,,
Стол манипуляционный МД SM 2,Есть в наличии,20 040 руб.,Медицинская мебель,5,,,
Стол хирургический МД СХ,Есть в наличии,7 530 руб.,Медицинская мебель,5,,,
Столик туалетно-пеленальный МСК-510 (Белый),Нет в наличии,13 840 руб.,Медицинская мебель,5,,,
"Столик медицинский инструментальный СМИ-03 (полки металл, колёса пластик) ",Есть в наличии,8 190 руб.,Медицинская мебель,5,,,
"Стол медицинский инструментальный СМИ-03-01 (полки металл, колёса серая резина)",Есть в наличии,12 320 руб.,Медицинская мебель,5,,,
Банкетка БМВ-01С,Есть в наличии,10 710 руб.,Медицинская мебель,5,,,
Кушетка медицинская смотровая КСВ-01С,Есть в наличии,9 650 руб.,Медицинская мебель,5,,,
Банкетка медицинская МСК-207 (БЛ-МСК),Нет в наличии,5 660 руб.,Медицинская мебель,5,,,
Банкетка медицинская со спинкой МД БС (Слоновая кость),Есть в наличии,10 520 руб.,Медицинская мебель,5,,,
Банкетка БМВ-01,Есть в наличии,7 120 руб.,Медицинская мебель,5,,,
Банкетка медицинская МСК-216 (БЛ-МСК),Нет в наличии,4 870 руб.,Медицинская мебель,5,,,
"Кушетка смотровая КС-1 (550х1950х600) (кожзам Эконом серый, каркас белый)",Есть в наличии,11 690 руб.,Медицинская мебель,5,,,
"Кушетка смотровая КС-1 (550х1950х800) (кожзам Эконом белый, каркас белый)",Есть в наличии,13 490 руб.,Медицинская мебель,5,,,
"Кушетка смотровая с рег. подголовником КС (1950х600х550) (кожзам Эконом бежевый, каркас белый)",Есть в наличии,13 150 руб.,Медицинская мебель,5,,,
Тумба медицинская ПРАКТИК МД ТП-1,Есть в наличии,7 690 руб.,Медицинская мебель,5,,,
Столик манипуляционный МСК-548,Нет в наличии,22 680 руб.,Медицинская мебель,5,,,
