title,availability,price,category,shop,weight
Столик манипуляционный МСК-548,0,22680.0,Медицинская мебель,Железная мебель,['18']
Столик стоматологический СС-04,1,15400.0,Медицинская мебель,Железная мебель,['18']
Столик медицинский прикроватный МСК-6511 (СтПр-МСК),0,16350.0,Медицинская мебель,Железная мебель,['15']
Столик медицинский для забора крови МСК-517 (СтМ-МСК),0,6630.0,Медицинская мебель,Железная мебель,['15']
Столик процедурный МСК-501-01М,0,5970.0,Медицинская мебель,Железная мебель,['11']
Столик процедурный МСК-501-02М,0,7230.0,Медицинская мебель,Железная мебель,['11']
Стол медицинский для врача МД-301.13 (СМВ-МСК),0,6570.0,Медицинская мебель,Железная мебель,['30']
Стол медицинский для врача МД-304.01 (СМВ-МСК),0,8390.0,Медицинская мебель,Железная мебель,['35']
Стол медицинской сестры МД-901 (ПДМС-МСК),0,32620.0,Медицинская мебель,Железная мебель,['90']
Стол медицинский инструментальный МСК-673.120.01 (СиМК-МСК),0,24540.0,Медицинская мебель,Железная мебель,['25']
"Стол медицинский инструментальный СМИ-02 (полки металл, колёса серая резина)",1,7140.0,Медицинская мебель,Железная мебель,['10']
"Стол медицинский инструментальный СМИ-03-01 (полки металл, колёса пластик)",1,11800.0,Медицинская мебель,Железная мебель,['20.5']
"Стол медицинский инструментальный СМИ-03-01 (полки нерж., колёса серая резина)",1,14450.0,Медицинская мебель,Железная мебель,['20.5']
"Стол медицинский инструментальный СМИ-02-02 (полки нерж., колёса серая резина)",1,15170.0,Медицинская мебель,Железная мебель,['21.5']
"Стол медицинский инструментальный СМИ-02-02 (полки металл, колёса пластик)",1,13210.0,Медицинская мебель,Железная мебель,['21.5']
"Столик медицинский инструментальный СМИ-02-01 (полки металл, колёса пластик)",1,10390.0,Медицинская мебель,Железная мебель,['16.5']
Тумба медицинская ПРАКТИК МД ТП-3,1,5890.0,Медицинская мебель,Железная мебель,['12.5']
"Стол медицинский инструментальный СМИ-02 (полки нерж., колёса серая резина)",1,7970.0,Медицинская мебель,Железная мебель,['10']
"Стол медицинский инструментальный СМИ-02-02 (полки металл, колёса серая резина)",1,13820.0,Медицинская мебель,Железная мебель,['21.5']
Тумба медицинская МД ТП-9,1,12550.0,Медицинская мебель,Железная мебель,['23']
Стол рабочий Ср (1200х600х750) (ЛДСП белый),1,7160.0,Медицинская мебель,Железная мебель,[]
"Стол медицинский инструментальный СМИ-02 (полки стекло, колёса пластик)",1,6640.0,Медицинская мебель,Железная мебель,['10']
"Столик медицинский инструментальный СМИ-03 (полки металл, колёса серая резина)",1,8850.0,Медицинская мебель,Железная мебель,['12']
"Столик медицинский инструментальный СМИ-02-01 (полки металл + стекло, колёса пластик)",1,10000.0,Медицинская мебель,Железная мебель,['16.5']
Стол инструментальный (колеса резина) СИ-2с (каркас белый),1,8900.0,Медицинская мебель,Железная мебель,[]
Банкетка медицинская металлическая,1,9460.0,Медицинская мебель,Железная мебель,['15']
Банкетка медицинская МСК-208 (БЛ-МСК),0,8230.0,Медицинская мебель,Железная мебель,['20']
Банкетка медицинская 4Hospitals МСК-239 (БМ-МСК),0,7140.0,Медицинская мебель,Железная мебель,['22']
Банкетка медицинская 4Hospitals МСК-240 (БМС-МСК),0,10390.0,Медицинская мебель,Железная мебель,['20']
Банкетка медицинская Б01 (Чёрный),1,6110.0,Медицинская мебель,Железная мебель,['8']
Банкетка медицинская со спинкой БС01 (Чёрный),1,10170.0,Медицинская мебель,Железная мебель,['13']
Диван медицинский (банкетка) Д01 (Чёрный),1,12630.0,Медицинская мебель,Железная мебель,['18']
Банкетка одноместная БО-2/1 (кожзам Эконом белый),1,10050.0,Медицинская мебель,Железная мебель,[]
"Банкетка двухместная БО-3/2 (кожзам Эконом белый, каркас черный)",1,14200.0,Медицинская мебель,Железная мебель,[]
"Банкетка одноместная БО-3/1 (кожзам Эконом белый, каркас белый)",1,9580.0,Медицинская мебель,Железная мебель,[]
"Банкетка двухместная БСУ-2х (кожзам Эконом белый, каркас белый)",1,5170.0,Медицинская мебель,Железная мебель,[]
"Банкетка двухместная Бп-2х (кожзам Эконом коричневый, каркас бежевый)",1,6120.0,Медицинская мебель,Железная мебель,[]
"Банкетка трехместная Бп-3х (кожзам Эконом коричневый, каркас бежевый)",1,8060.0,Медицинская мебель,Железная мебель,[]
"Банкетка трехместная БУ-3х (кожзам Эконом светло-серый, каркас белый)",1,7520.0,Медицинская мебель,Железная мебель,[]
Кушетка медицинская смотровая К01 (Чёрный),1,13950.0,Медицинская мебель,Железная мебель,[]
Кушетка медицинская смотровая К02 (Чёрный),1,13950.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШСС-1,1,18690.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1,1,16980.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1 с трейзером,1,19320.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШММ-1,1,20860.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-2,1,21380.0,Медицинская мебель,Железная мебель,['43']
Органайзер для СИПС-Н-01,1,3370.0,Медицинская мебель,Железная мебель,[]
Табурет винтовой Т04 (Чёрный),1,4770.0,Медицинская мебель,Железная мебель,[]
Табурет Т04-1 (Чёрный),1,5700.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШСС-2,1,22030.0,Медицинская мебель,Железная мебель,['45']
Шкаф медицинский ШМС-1-Т-Р-1,1,22140.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШММ-1-Т,1,22410.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШММ-1-Р-1,1,23300.0,Медицинская мебель,Железная мебель,[]
Аптечка G32/1,1,3470.0,Медицинская мебель,Железная мебель,['1.7']
Аптечка G45/2,1,7160.0,Медицинская мебель,Железная мебель,['5.5']
Аптечка D36,1,7430.0,Медицинская мебель,Железная мебель,['5']
Шкаф медицинский ШМС-1-А-Р-1,1,23760.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-2-Р-2,1,25170.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-2 с трейзером,1,24880.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1-А-Т-Р-1,1,26470.0,Медицинская мебель,Железная мебель,[]
Аптечка G39,1,2630.0,Медицинская мебель,Железная мебель,['2']
Рециркулятор бактерицидный с корпусом из нержавеющей стали МСК-5911Б,1,19470.0,Медицинская мебель,Железная мебель,['8']
Шкаф медицинский ШМС-2-Р-2-Ц,1,26930.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1-Т-Р-3,1,27550.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШММ-1-Р-3,1,28720.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1-А-Р-2/1,1,29200.0,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-1 (Чёрный),1,3280.0,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-2 (Чёрный),1,3630.0,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-4 (Чёрный),1,4280.0,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-5 (телескопическая) (Чёрный),1,3610.0,Медицинская мебель,Железная мебель,[]
Стойка для дозатора СД-6 (с флаконом 1 л) (Чёрный),1,2920.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШММ-2-Р-2-Ц,1,30030.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-1-А-Т-Р-2/1,1,31910.0,Медицинская мебель,Железная мебель,[]
Шкаф медицинский ШМС-2-А-Р-2,1,33110.0,Медицинская мебель,Железная мебель,[]
